ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003012034_E4,3000.0,117.0,234.0,NORDEX,4.531210406061546,49.4207009767291,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012034_E5,3000.0,117.0,221.0,NORDEX,4.525179561501272,49.41808016500491,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012034_E6,3000.0,117.0,211.0,NORDEX,4.516007181595059,49.416846932413144,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012034_E7,3600.0,117.0,123.0,NORDEX,4.5383079591839,49.41656551120645,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012034_E8,3600.0,117.0,220.0,NORDEX,4.5309459611596035,49.41180430298121,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012034_E9,3600.0,117.0,229.0,NORDEX,4.520740074899589,49.41193299644645,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012040_E1,3000.0,117.0,91.5,NORDEX,4.473610423154812,49.44487893905393,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012040_E2,3000.0,117.0,106.5,NORDEX,4.475415392161981,49.440991458182154,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012040_E3,3000.0,117.0,91.5,NORDEX,4.47476256284971,49.43263908685834,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012040_E4,3000.0,117.0,106.5,NORDEX,4.485971206205832,49.43654735973992,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012047_E1,3600.0,126.0,87.0,VESTAS,5.084634869538287,48.448281323312216,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012047_E2,3600.0,126.0,87.0,VESTAS,5.087525544256867,48.44409076514255,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012047_E3,3600.0,126.0,87.0,VESTAS,5.0907337850157335,48.44007450916218,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012057_E1,3000.0,136.0,97.0,VESTAS,4.055563443567495,48.62940698805877,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012057_E2,3000.0,136.0,97.0,VESTAS,4.062216432340981,48.62889805549044,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012057_E3,3000.0,136.0,97.0,VESTAS,4.067497070373168,48.62831109901414,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012057_E4,3000.0,136.0,97.0,VESTAS,4.071944415612313,48.62746153476369,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012058_E1,3000.0,136.0,97.0,VESTAS,4.024175295635419,48.62392372407086,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012058_E2,3000.0,136.0,97.0,VESTAS,4.031932755003496,48.6243965108129,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E1,3300.0,132.0,80.0,Gamesa,4.430874209370516,48.76420720448192,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012061_E10,3300.0,132.0,80.0,Gamesa,4.447349712469965,48.766077629896,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
