ID,year,month,energy_mwh,n_intervals
BULGANA1,2021,5,34868.244249999996,8928
BULGANA1,2021,6,32678.031249999996,8640
BULGANA1,2021,7,9258.385833333334,8928
BULGANA1,2021,8,40303.95251083333,8928
BULGANA1,2021,9,32645.715911666666,8640
BULGANA1,2021,10,42947.15416666666,8928
BULGANA1,2021,11,43666.90522166666,8640
BULGANA1,2021,12,62033.31246833333,8928
BULGANA1,2022,1,47699.41584166666,8928
BULGANA1,2022,2,48079.46835083333,8064
BULGANA1,2022,3,51200.47666,8928
BULGANA1,2022,4,39563.33916249999,8640
BULGANA1,2022,5,32744.75748333333,8928
BULGANA1,2022,6,49244.68416583333,8640
BULGANA1,2022,7,52216.938324166666,8928
BULGANA1,2022,8,53606.44668833334,8928
BULGANA1,2022,9,50797.59831916667,8640
BULGANA1,2022,10,28045.238694166666,8928
BULGANA1,2022,11,34287.606341666666,8640
BULGANA1,2022,12,36487.075025,8928
BULGANA1,2023,1,46358.47164166666,8928
BULGANA1,2023,2,43428.82918666666,8064
BULGANA1,2023,3,42008.81440833333,8928
BULGANA1,2023,4,32046.487941666666,8640
BULGANA1,2023,5,28484.638345,8928
BULGANA1,2023,6,43256.28164249999,8640
BULGANA1,2023,7,40871.16082333333,8928
BULGANA1,2023,8,33418.51805416666,8928
BULGANA1,2023,9,36686.793309999994,8640
BULGANA1,2023,10,39469.484565,8928
BULGANA1,2023,11,48641.615757499996,8640
BULGANA1,2023,12,57329.36288333333,8809
CAPTL_WF,2019,12,239.21833099999998,119
CAPTL_WF,2020,1,31439.814818,8924
CAPTL_WF,2020,2,31224.5451725,8347
CAPTL_WF,2020,3,22143.266884166667,8924
CAPTL_WF,2020,4,36275.820473416665,8630
CAPTL_WF,2020,5,25275.723228416664,8916
CAPTL_WF,2020,6,22380.2352115,8628
CAPTL_WF,2020,7,22702.213889,8914
CAPTL_WF,2020,8,47351.00749325,8917
CAPTL_WF,2020,9,35625.76013883333,8639
CAPTL_WF,2020,10,31224.694176499997,8917
CAPTL_WF,2020,11,20311.485556166666,8630
CAPTL_WF,2020,12,30997.203511,8924
CAPTL_WF,2021,1,27031.208877416662,8909
CAPTL_WF,2021,2,19534.387231083332,8057
CAPTL_WF,2021,3,32701.00145325,8922
CAPTL_WF,2021,4,20720.239220833333,8628
CAPTL_WF,2021,5,19442.55924858333,8914
CAPTL_WF,2021,6,28648.040176,8636
CAPTL_WF,2021,7,41920.129833416664,8921
CAPTL_WF,2021,8,35884.415522749994,8920
CAPTL_WF,2021,9,34751.09099325,8571
CAPTL_WF,2021,10,28818.837696,8916
CAPTL_WF,2021,11,28599.34798108333,8635
CAPTL_WF,2021,12,20132.17400258333,8925
CAPTL_WF,2022,1,20937.87602858333,8916
CAPTL_WF,2022,2,23281.08265808333,8059
CAPTL_WF,2022,3,27269.068391916666,8923
CAPTL_WF,2022,4,22696.240389833332,8630
CAPTL_WF,2022,5,27901.073010833334,8916
CAPTL_WF,2022,6,41017.35164666666,8626
