ID,site_name,region,lon,lat,height,capacity,model,model_source,type,commissioning_date
DULAWF1,Dulacca Wind Farm,QLD1,149.8533,-26.6116,100.0,172860.0,BAR_BAUa_5.0MW_167.4,pdensity-class,onshore,2024-01-01
DUNDWF1,Dundonnell Wind Farm,VIC1,142.972,-37.8616,100.0,168000.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2021-01-01
DUNDWF2,Dundonnell Wind Farm,VIC1,142.972,-37.8616,100.0,46200.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2021-01-01
DUNDWF3,Dundonnell Wind Farm,VIC1,142.972,-37.8616,100.0,121800.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2021-01-01
FLYCRKWF,Flyers Creek Wind Farm,NSW1,149.0804,-33.5633,100.0,145540.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2024-01-01
FNWF1,Ferguson Wind Farm,VIC1,143.1794,-38.6109,100.0,12000.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2021-01-01
GRANWF1,Granville Harbour Wind Farm,TAS1,145.039,-41.7803,100.0,111600.0,2023NREL_Bespoke_8.3MW_196,pdensity-class,onshore,2020-01-01
GULLRWF1,Gullen Range Wind Farm,NSW1,149.43684727272728,-34.55871454545454,100.0,165500.0,2023NREL_Bespoke_3.3MW_148,pdensity-class,onshore,2014-01-01
GUNNING1,Gunning Wind Farm,NSW1,149.3829,-34.6878,100.0,46500.0,DOE_GE_1.5MW_77,pdensity-class,onshore,2011-01-01
HD1WF1,Hawkesdale Wind Farm,VIC1,142.3609,-38.1481,100.0,96600.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2024-01-01
HDWF1,Hornsdale Wind Farm Stage 1,SA1,138.5174607594937,-33.08509303797469,100.0,102400.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2017-01-01
HDWF2,Hornsdale Wind Farm Stage 2,SA1,138.5174607594937,-33.08509303797469,100.0,102400.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2017-01-01
HDWF3,Hornsdale Wind Farm Stage 3,SA1,138.5174607594937,-33.08509303797469,100.0,112000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2017-01-01
KiataWF1,Kiata Wind Farm,VIC1,141.7501,-36.3963,100.0,31050.0,2023NREL_Bespoke_8.3MW_196,pdensity-class,onshore,2017-01-01
LGAPWF1,Lincoln Gap Wind Farm - stage 1,SA1,137.5508,-32.5432,100.0,126000.0,2023NREL_Bespoke_3MW_127.5,pdensity-class,onshore,2020-01-01
LGAPWF2,Lincoln Gap Wind Farm - Stage 2,SA1,137.5508,-32.5432,100.0,86400.0,IEA_Reference_3.4MW_130,pdensity-class,onshore,2020-01-01
MACARTH1,Macarthur Wind Farm,VIC1,142.1838,-38.0417,100.0,420000.0,VestasV82_1.65MW_82,pdensity-class,onshore,2013-01-01
MEWF1,Mount Emerald,QLD1,145.3868,-17.1577,100.0,180730.0,VestasV82_1.65MW_82,pdensity-class,onshore,2019-01-01
MLWF1,Mortons Lane Wind Farm,VIC1,142.4705,-37.8382,100.0,19500.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2013-01-01
MRTLSWF1,Mortlake South Wind Farm,VIC1,142.8574,-38.1274,100.0,157500.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2021-01-01
MUSSELR1,Musselroe Wind Farm,TAS1,148.0072,-40.7792,100.0,168000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2013-01-01
MUWAWF1,Murra Warra Wind Farm - stage 1,VIC1,142.2898,-36.44720000000001,100.0,225700.0,BAR_BAUa_5.0MW_167.4,pdensity-class,onshore,2020-01-01
OAKLAND1,Oaklands Hill Wind Farm,VIC1,142.582,-37.6914,100.0,67200.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2012-01-01
RYANCWF1,Ryan Corner Wind Farm,VIC1,142.1435,-38.2708,100.0,218400.0,2023NREL_Bespoke_8.3MW_196,pdensity-class,onshore,2024-01-01
RYEPARK1,Rye Park Wind Farm,NSW1,148.9783,-34.6172,100.0,396000.0,2023NREL_Bespoke_8.3MW_196,pdensity-class,onshore,2026-10-07
SALTCRK1,Salt Creek Wind Farm,VIC1,142.7821,-37.9173,100.0,54000.0,IEC_Class2_Normalized_Industry_Composite,iec-class2-generic,onshore,2018-01-01
SAPHWF1,Sapphire Wind Farm,NSW1,151.4111,-29.6998,100.0,270000.0,2023NREL_Bespoke_8.3MW_196,pdensity-class,onshore,2018-01-01
STARHLWF,Starfish Hill,SA1,138.1575,-35.5703,100.0,33000.0,BAR_HighSP_5.0MW_134.9,pdensity-class,onshore,2003-01-01
