cluster,scalar,offset,lon,lat,type,country,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
65.0,0.7896288732191283,0.7641180660879541,0.6875,51.529411764705884,onshore,UK,-12.25654622521977,0.5286283541439828,13.997420985254308,36.84722964149185,-6.274130977986093e-08,0.4790881081598748,1.2545860094876828,0.1165213583887107,2,36.7741985485157,0.160771444439888,52.1674309461398,51.529411764705884,0.6875,51.529411764705884,51.529411764705884
66.0,1.3711073678763934,-1.4272205615674003,1.34375,51.529411764705884,onshore,UK,3.9935581815181758,0.2705502346934219,33.4656695908522,42.966850298185626,-5.106162833387867e-07,10.144175760432748,0.8424922672896473,0.08947901129918098,4,4.376330251968285,0.07572788745164871,37.22490736034241,51.529411764705884,1.34375,51.529411764705884,51.529411764705884
67.0,0.914213069654144,0.1797958766457928,2.0,51.529411764705884,onshore,UK,68.09547646287372,0.37809477546686565,315.22881513142033,58.19876855713824,-7.929058024569805e-07,37.10117278804369,1.1567546535911946,0.21435271428519892,2,-66.5636615560248,0.00014276424190029502,54.51850134748936,51.529411764705884,2.0,51.529411764705884,51.529411764705884
68.0,1.0751783466614278,-0.3157985654938385,-8.5,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,23.40222355138244,0.6685703061412108,0.0,1,220.03719449162253,0.8823152184486389,0.0,52.205882352941174,-8.5,52.205882352941174,52.205882352941174
69.0,0.6685703061412108,1.3488122707006849,-7.84375,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,16.15966841376238,1.0355377789274833,0.1659380867980116,3,218.8876237921482,0.7477254271507263,0.0,52.205882352941174,-7.84375,52.205882352941174,52.205882352941174
70.0,1.216028857737656,-0.8701938342546872,-7.1875,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,4.462587242584772,0.6118279324092712,0.05674237373193952,2,174.00377902864585,0.5555713772773743,0.0,52.205882352941174,-7.1875,52.205882352941174,52.205882352941174
71.0,0.5550855586773318,1.829793874460452,-6.53125,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,0.8152881994933263,1.1013765309277828,0.11465232680987314,2,106.47546278405672,0.034644197672605515,0.0,52.205882352941174,-6.53125,52.205882352941174,52.205882352941174
72.0,0.9867242041179096,0.0598537986573097,-5.875,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,31.82205566919926,0.8014155191391901,0.2463299604618583,2,100.75230553871809,3.023067256435752e-05,0.0,52.205882352941174,-5.875,52.205882352941174,52.205882352941174
73.0,1.0477454796010484,-0.1827038448055291,-5.21875,52.205882352941174,onshore,UK,-95.99882472149203,0.43522667481503063,0.0,19.367219786585512,-9.189157787361076e-07,16.47804307900019,0.9328487899925683,0.05387541412534136,2,101.32231096870693,2.7846486773341894e-05,0.0,52.205882352941174,-5.21875,52.205882352941174,52.205882352941174
74.0,0.8789733758672269,0.4524470110059049,-4.5625,52.205882352941174,onshore,UK,-32.38187270369215,0.08046359156461334,90.0,28.91929298016804,-1.1248806256010346e-07,4.942467882942078,1.2012097668793356,0.1534642872782872,2,85.41214465244632,0.2202804833650589,35.973261966940285,52.205882352941174,-4.5625,52.205882352941174,52.205882352941174
75.0,1.3546740541576228,-1.439487806772208,-3.90625,52.205882352941174,onshore,UK,-36.28062698744473,0.019261114697234512,193.86519106341524,22.755530772319716,-6.770376957020682e-07,18.489662020635333,1.040709728701009,0.16173635283378207,2,242.12891655689506,0.5865350365638733,22.351720581203445,52.205882352941174,-3.90625,52.205882352941174,52.205882352941174
76.0,1.202446081534791,-0.8562664657846902,-3.25,52.205882352941174,onshore,UK,-100.0,0.16938868389406994,134.31798191168295,32.71123033250017,7.67640686501533e-07,50.04418369884374,1.1757404650314836,0.17893358912613916,2,388.39152872349376,0.34794121980667114,36.25389168245747,52.205882352941174,-3.25,52.205882352941174,52.205882352941174
77.0,0.9968068759053444,0.006529692218283,-2.59375,52.205882352941174,onshore,UK,-31.314645566940616,0.17254441416234514,5.512170413622428,35.44098707063906,-4.1430181937172753e-07,33.39863775447683,0.9005117095189097,0.3019343720158813,2,147.47132599871395,0.285392701625824,27.836486589234205,52.205882352941174,-2.59375,52.205882352941174,52.205882352941174
78.0,0.5985773375030284,1.853514845774587,-1.9375,52.205882352941174,onshore,UK,-52.86893353306646,0.10665717582239985,64.62761103889821,35.40709198205339,2.1852947072013282e-07,44.45426563161564,0.8319236505667921,0.16488322533855237,2,135.39370028891582,0.3820573687553406,25.935476769032896,52.205882352941174,-1.9375,52.205882352941174,52.205882352941174
79.0,0.6670404252282397,1.1225236620889048,-1.28125,52.205882352941174,onshore,UK,-28.136254604535868,0.028612142571316935,211.53414819293636,46.43795589546139,-2.0783781777192273e-07,84.72057251777144,0.6456647390817915,0.04708740157876301,2,144.33874260056407,0.2752428650856018,43.13419980580559,52.205882352941174,-1.28125,52.205882352941174,52.205882352941174
80.0,0.6927521406605545,0.5662936534029441,-0.625,52.205882352941174,onshore,UK,-15.816138890399321,0.17502891632485343,46.995031783926606,47.58113075128822,1.1824229913993337e-07,66.61730896513544,1.1694780334765629,0.5024376082483232,2,111.04513568402915,0.27897268533706665,38.9476636612164,52.205882352941174,-0.625,52.205882352941174,52.205882352941174
81.0,1.671915641724886,-2.4717065267513685,0.03125,52.205882352941174,onshore,UK,-100.0,0.0930279198682874,297.4899348065488,41.395196834538346,9.60032934725634e-07,44.934852318225694,0.8293779634338243,0.13662582277326984,2,132.34198262467305,0.24279816448688507,42.382147407205025,52.205882352941174,0.03125,52.205882352941174,52.205882352941174
82.0,0.9660037862070942,0.1398723600102528,0.6875,52.205882352941174,onshore,UK,-1.456272152414283,0.4467371600443876,155.04388262060553,37.45479746906842,6.771243909677957e-07,32.739829363198716,1.235328416572766,0.4365872251521199,2,60.1786318681429,0.3802850842475891,39.0058297683002,52.205882352941174,0.6875,52.205882352941174,52.205882352941174
